Gene,p_value,odds_ratio,n_strong_present,n_weak_present,p_adj,Direction,Category
group_3937,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
bin3,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3936,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3935,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3934,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3933,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3931,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3930,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3929,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3928,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
recD_2,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3926,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3925,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3924,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3922,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3921,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3920,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3919,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3918,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3916,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3915,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3913,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
soj_3,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
