Gene,p_value,odds_ratio,n_SixtyLake,n_ConnessPond,p_adj,Direction
group_2217,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2216,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2195,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2194,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2160,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2159,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2158,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2157,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2143,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2131,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2130,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2129,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2125,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2124,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2109,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2108,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2097,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2088,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2075,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2061,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2051,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2039,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2007,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2002,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_1993,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_1992,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_1982,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_1961,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_1950,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_1946,0.009049773755656115,Inf,6,0,0.44163070633658924,Enriched in Sixty Lake
group_1939,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_1938,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_1919,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_1906,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_1905,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_1895,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
