Gene,Freq,Category,IsNamed,InSixtyLake,InConnessPond,PondPattern
argT_3,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3747,18,Core,FALSE,TRUE,TRUE,Both ponds
tsf,18,Core,TRUE,TRUE,TRUE,Both ponds
ispD,18,Core,TRUE,TRUE,TRUE,Both ponds
rapA,18,Core,TRUE,TRUE,TRUE,Both ponds
map_1,18,Core,TRUE,TRUE,TRUE,Both ponds
hisM_2,18,Core,TRUE,TRUE,TRUE,Both ponds
dcd,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3740,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3739,18,Core,FALSE,TRUE,TRUE,Both ponds
acrF,18,Core,TRUE,TRUE,TRUE,Both ponds
dapD,18,Core,TRUE,TRUE,TRUE,Both ponds
pitA_2,18,Core,TRUE,TRUE,TRUE,Both ponds
nhaK_2~~~nhaK,18,Core,TRUE,TRUE,TRUE,Both ponds
gcvA_7,18,Core,TRUE,TRUE,TRUE,Both ponds
yfcG_4,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3734,18,Core,FALSE,TRUE,TRUE,Both ponds
capB_1,18,Core,TRUE,TRUE,TRUE,Both ponds
cspA_3,18,Core,TRUE,TRUE,TRUE,Both ponds
tilS,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3733,18,Core,FALSE,TRUE,TRUE,Both ponds
accA_2,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3732,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3730,18,Core,FALSE,TRUE,TRUE,Both ponds
fabZ,18,Core,TRUE,TRUE,TRUE,Both ponds
pdxH,18,Core,TRUE,TRUE,TRUE,Both ponds
catD_3,18,Core,TRUE,TRUE,TRUE,Both ponds
nhaA,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3728,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3727,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3726,18,Core,FALSE,TRUE,TRUE,Both ponds
nicP_4,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3725,18,Core,FALSE,TRUE,TRUE,Both ponds
sufS_2,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3724,18,Core,FALSE,TRUE,TRUE,Both ponds
dnaE,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3723,18,Core,FALSE,TRUE,TRUE,Both ponds
lpxD_2,18,Core,TRUE,TRUE,TRUE,Both ponds
truD,18,Core,TRUE,TRUE,TRUE,Both ponds
dxr,18,Core,TRUE,TRUE,TRUE,Both ponds
hisQ_3,18,Core,TRUE,TRUE,TRUE,Both ponds
sotB_4,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3719,18,Core,FALSE,TRUE,TRUE,Both ponds
dapL_2,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3717,18,Core,FALSE,TRUE,TRUE,Both ponds
rseP,18,Core,TRUE,TRUE,TRUE,Both ponds
pcaF,18,Core,TRUE,TRUE,TRUE,Both ponds
rpsB,18,Core,TRUE,TRUE,TRUE,Both ponds
sufS_1,18,Core,TRUE,TRUE,TRUE,Both ponds
cdsA,18,Core,TRUE,TRUE,TRUE,Both ponds
rlmA,18,Core,TRUE,TRUE,TRUE,Both ponds
ftsB,18,Core,TRUE,TRUE,TRUE,Both ponds
pcaB,18,Core,TRUE,TRUE,TRUE,Both ponds
csdE,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3710,18,Core,FALSE,TRUE,TRUE,Both ponds
pyrH,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3709,18,Core,FALSE,TRUE,TRUE,Both ponds
dinG_3,18,Core,TRUE,TRUE,TRUE,Both ponds
dmlR_23,18,Core,TRUE,TRUE,TRUE,Both ponds
tcdA,18,Core,TRUE,TRUE,TRUE,Both ponds
pcaG,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3705,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3704,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3703,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3702,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3701,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3700,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3698,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3697,18,Core,FALSE,TRUE,TRUE,Both ponds
ves,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3695,18,Core,FALSE,TRUE,TRUE,Both ponds
fabF_1,18,Core,TRUE,TRUE,TRUE,Both ponds
cdiA1~~~cdiA,18,Core,TRUE,TRUE,TRUE,Both ponds
opuAA,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3694,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3693,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3692,18,Core,FALSE,TRUE,TRUE,Both ponds
