Gene,p_value,odds_ratio,n_strong_present,n_weak_present,p_adj,Direction,Category
group_2632,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2619,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2608,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2601,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2600,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2599,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2598,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2573,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2572,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2560,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2559,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2542,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2535,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2534,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2533,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2518,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2517,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2516,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2515,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2506,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2505,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2492,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2491,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2475,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2451,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2450,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2437,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2413,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2385,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2384,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2362,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2361,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
ybcO,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2354,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2345,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2339,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2338,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2329,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2328,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2317,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2316,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2298,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
