time	Isolate	OD	Isolate2
26	628C	2.105	628C.3
26.5	628C	2.062	628C.3
27	628C	2.076	628C.3
27.5	628C	2.183	628C.3
28	628C	2.075	628C.3
28.5	628C	2.117	628C.3
29	628C	2.16	628C.3
29.5	628C	2.143	628C.3
30	628C	2.267	628C.3
30.5	628C	2.134	628C.3
31	628C	2.232	628C.3
31.5	628C	2.225	628C.3
32	628C	2.208	628C.3
32.5	628C	2.175	628C.3
33	628C	2.225	628C.3
33.5	628C	2.31	628C.3
34	628C	2.319	628C.3
34.5	628C	2.269	628C.3
35	628C	2.374	628C.3
35.5	628C	2.281	628C.3
36	628C	2.184	628C.3
0.5	629A2A	0.086	629A2A.3
1	629A2A	0.086	629A2A.3
1.5	629A2A	0.085	629A2A.3
2	629A2A	0.085	629A2A.3
2.5	629A2A	0.087	629A2A.3
3	629A2A	0.087	629A2A.3
