Sp1	Sp2	ANI	Lake1	Lake2	Comparison
638A1	CP20G1	98.8378	Sixty Lake	Conness Pond	Different Pond
638A1	CP2A	98.838	Sixty Lake	Conness Pond	Different Pond
CP17D	CP2A	98.8395	Conness Pond	Conness Pond	Same Pond
CP12E	649D1	98.8396	Conness Pond	Sixty Lake	Different Pond
632B	CP3F2	98.8399	Sixty Lake	Conness Pond	Different Pond
632B	CP20G1	98.8406	Sixty Lake	Conness Pond	Different Pond
638A1	CP10A	98.8415	Sixty Lake	Conness Pond	Different Pond
CP20G1	632B	98.8427	Conness Pond	Sixty Lake	Different Pond
CP17D	CP20G1	98.8484	Conness Pond	Conness Pond	Same Pond
CP17D	CP19F2	98.8488	Conness Pond	Conness Pond	Same Pond
633A	CP12E	98.849	Sixty Lake	Conness Pond	Different Pond
CP17D	CP10A	98.8505	Conness Pond	Conness Pond	Same Pond
643E	CP12E	98.8537	Sixty Lake	Conness Pond	Different Pond
632B	CP2A	98.8568	Sixty Lake	Conness Pond	Different Pond
CP12E	631B	98.8569	Conness Pond	Sixty Lake	Different Pond
643E	CP3F2	98.8596	Sixty Lake	Conness Pond	Different Pond
643E	CP10A	98.8619	Sixty Lake	Conness Pond	Different Pond
633A	CP20G1	98.8649	Sixty Lake	Conness Pond	Different Pond
CP20G1	631B	98.8652	Conness Pond	Sixty Lake	Different Pond
CP2A	649D1	98.8653	Conness Pond	Sixty Lake	Different Pond
638A1	CP3F2	98.8664	Sixty Lake	Conness Pond	Different Pond
CP12E	CP6A	98.8674	Conness Pond	Conness Pond	Same Pond
638A1	CP19F2	98.8677	Sixty Lake	Conness Pond	Different Pond
CP19F2	643E	98.8688	Conness Pond	Sixty Lake	Different Pond
643E	CP2A	98.8689	Sixty Lake	Conness Pond	Different Pond
633A	CP10A	98.8698	Sixty Lake	Conness Pond	Different Pond
CP10A	631B	98.8702	Conness Pond	Sixty Lake	Different Pond
CP3F2	631B	98.8706	Conness Pond	Sixty Lake	Different Pond
CP2A	631B	98.8709	Conness Pond	Sixty Lake	Different Pond
633A	CP2A	98.8713	Sixty Lake	Conness Pond	Different Pond
CP20G1	649D1	98.8715	Conness Pond	Sixty Lake	Different Pond
CP3F2	CP6A	98.8716	Conness Pond	Conness Pond	Same Pond
CP2A	633A	98.8718	Conness Pond	Sixty Lake	Different Pond
CP3F2	649D1	98.8722	Conness Pond	Sixty Lake	Different Pond
CP2A	CP6A	98.8732	Conness Pond	Conness Pond	Same Pond
CP10A	CP6A	98.875	Conness Pond	Conness Pond	Same Pond
CP2A	638A1	98.8759	Conness Pond	Sixty Lake	Different Pond
643E	CP20G1	98.8776	Sixty Lake	Conness Pond	Different Pond
CP20G1	633A	98.8781	Conness Pond	Sixty Lake	Different Pond
CP12E	643E	98.8781	Conness Pond	Sixty Lake	Different Pond
CP10A	633A	98.8783	Conness Pond	Sixty Lake	Different Pond
CP2A	643E	98.8787	Conness Pond	Sixty Lake	Different Pond
CP3F2	643E	98.879	Conness Pond	Sixty Lake	Different Pond
631B	CP12E	98.8792	Sixty Lake	Conness Pond	Different Pond
643E	CP19F2	98.8798	Sixty Lake	Conness Pond	Different Pond
CP12E	CP8C	98.88	Conness Pond	Conness Pond	Same Pond
CP19F2	633A	98.8807	Conness Pond	Sixty Lake	Different Pond
CP8C	CP2A	98.882	Conness Pond	Conness Pond	Same Pond
CP19F2	CP6A	98.8862	Conness Pond	Conness Pond	Same Pond
CP12E	638A1	98.8864	Conness Pond	Sixty Lake	Different Pond
CP3F2	CP8C	98.8867	Conness Pond	Conness Pond	Same Pond
CP19F2	638A1	98.8868	Conness Pond	Sixty Lake	Different Pond
633A	CP19F2	98.887	Sixty Lake	Conness Pond	Different Pond
CP3F2	633A	98.8873	Conness Pond	Sixty Lake	Different Pond
CP8C	CP12E	98.8887	Conness Pond	Conness Pond	Same Pond
CP8C	CP10A	98.8895	Conness Pond	Conness Pond	Same Pond
633A	CP3F2	98.8904	Sixty Lake	Conness Pond	Different Pond
CP2A	CP8C	98.8904	Conness Pond	Conness Pond	Same Pond
631B	CP20G1	98.8918	Sixty Lake	Conness Pond	Different Pond
CP10A	643E	98.8924	Conness Pond	Sixty Lake	Different Pond
649D1	CP20G1	98.8931	Sixty Lake	Conness Pond	Different Pond
CP3F2	638A1	98.8948	Conness Pond	Sixty Lake	Different Pond
CP20G1	638A1	98.8949	Conness Pond	Sixty Lake	Different Pond
CP17D	CP5A	98.896	Conness Pond	Conness Pond	Same Pond
CP20G1	CP8C	98.896	Conness Pond	Conness Pond	Same Pond
CP10A	638A1	98.8964	Conness Pond	Sixty Lake	Different Pond
649D1	CP12E	98.8967	Sixty Lake	Conness Pond	Different Pond
CP10A	649D1	98.8972	Conness Pond	Sixty Lake	Different Pond
CP8C	CP20G1	98.8978	Conness Pond	Conness Pond	Same Pond
CP20G1	643E	98.8985	Conness Pond	Sixty Lake	Different Pond
CP12E	633A	98.8995	Conness Pond	Sixty Lake	Different Pond
CP19F2	649D1	98.9004	Conness Pond	Sixty Lake	Different Pond
CP10A	CP8C	98.9005	Conness Pond	Conness Pond	Same Pond
CP19F2	631B	98.9012	Conness Pond	Sixty Lake	Different Pond
CP6A	CP2A	98.9017	Conness Pond	Conness Pond	Same Pond
CP8C	CP19F2	98.9032	Conness Pond	Conness Pond	Same Pond
CP8C	CP3F2	98.9041	Conness Pond	Conness Pond	Same Pond
631B	CP10A	98.9044	Sixty Lake	Conness Pond	Different Pond
CP19F2	CP8C	98.905	Conness Pond	Conness Pond	Same Pond
631B	CP2A	98.9066	Sixty Lake	Conness Pond	Different Pond
CP6A	CP12E	98.9071	Conness Pond	Conness Pond	Same Pond
649D1	CP19F2	98.9085	Sixty Lake	Conness Pond	Different Pond
CP15C	CP5A	98.9086	Conness Pond	Conness Pond	Same Pond
631B	CP19F2	98.9141	Sixty Lake	Conness Pond	Different Pond
649D1	CP10A	98.9158	Sixty Lake	Conness Pond	Different Pond
631B	CP3F2	98.9161	Sixty Lake	Conness Pond	Different Pond
CP6A	CP20G1	98.9199	Conness Pond	Conness Pond	Same Pond
CP6A	CP3F2	98.924	Conness Pond	Conness Pond	Same Pond
649D1	CP2A	98.9242	Sixty Lake	Conness Pond	Different Pond
CP6A	CP19F2	98.9258	Conness Pond	Conness Pond	Same Pond
642A	CP5A	98.9266	Sixty Lake	Conness Pond	Different Pond
CP13A	CP5A	98.9293	Conness Pond	Conness Pond	Same Pond
CP5A	CP17D	98.9309	Conness Pond	Conness Pond	Same Pond
649D1	CP3F2	98.9318	Sixty Lake	Conness Pond	Different Pond
CP6A	CP10A	98.9337	Conness Pond	Conness Pond	Same Pond
649D1	CP5A	98.9541	Sixty Lake	Conness Pond	Different Pond
632B	CP5A	98.9598	Sixty Lake	Conness Pond	Different Pond
CP5A	CP13A	98.9659	Conness Pond	Conness Pond	Same Pond
CP5A	632B	98.9665	Conness Pond	Sixty Lake	Different Pond
CP5A	649D1	98.9757	Conness Pond	Sixty Lake	Different Pond
CP5A	CP15C	98.9807	Conness Pond	Conness Pond	Same Pond
CP8C	CP17D	98.9864	Conness Pond	Conness Pond	Same Pond
CP5A	642A	98.9894	Conness Pond	Sixty Lake	Different Pond
CP8C	CP5A	98.9918	Conness Pond	Conness Pond	Same Pond
631B	CP15C	98.9953	Sixty Lake	Conness Pond	Different Pond
CP17D	CP6A	98.9953	Conness Pond	Conness Pond	Same Pond
631B	633A	98.996	Sixty Lake	Sixty Lake	Same Pond
628C	629A2A	99.0073	Sixty Lake	Sixty Lake	Same Pond
CP6A	642A	99.0123	Conness Pond	Sixty Lake	Different Pond
631B	642A	99.0146	Sixty Lake	Sixty Lake	Same Pond
642A	643E	99.0146	Sixty Lake	Sixty Lake	Same Pond
631B	CP13A	99.015	Sixty Lake	Conness Pond	Different Pond
CP17D	631B	99.0156	Conness Pond	Sixty Lake	Different Pond
