Gene	KO
group_1321	K02483
czcR_2	K02483
cusR_1	K02483
group_3773	K02483
copR_1	K02483
sasA_3	K02484
qseC_3	K02484
qseC_1~~~qseC_3	K02484
hemA	K02492
prmC	K02493
lolB	K02494
hemN	K02495
hemX	K02496
hemY	K02498
hisF	K02500
hisH	K02501
hisZ_2	K02502
group_2196	K02503
group_956	K02508
hpcG	K02509
hpcH	K02510
lpxL	K02517
lpxP	K02517
infA	K02518
infB	K02519
infC	K02520
ispB	K02523
kdgR_3	K02525
waaA	K02527
rsmA	K02528
cytR	K02529
rbsR_1	K02529
purR	K02529
exuR	K02529
lpxC	K02535
lpxD_2	K02536
group_1704	K02553
pomA	K02556
motA	K02556
motB_1	K02557
motB_2	K02557
mpl	K02558
murG	K02563
nasA_2	K02575
nusA	K02600
nusG	K02601
pabC	K02619
parC	K02621
parE	K02622
pcaR	K02624
kgtP_2	K02625
cdaR	K02647
pilA	K02650
group_3541	K02651
epsF	K02653
outO	K02654
outO_2	K02654
group_1999	K02655
group_1123	K02656
walR_1	K02657
pleD	K02658
group_1615	K02659
group_138	K02660
group_3579	K02662
group_3674	K02663
group_3569	K02664
pilQ	K02666
pilT	K02669
prmA	K02687
sprT	K02742
fruA	K02770
gamP	K02804
ptsN	K02806
treP	K02819
uraA	K02824
pyrR	K02825
rbfA	K02834
prfA	K02835
prfB	K02836
prfC	K02837
frr	K02838
rfaC	K02841
rfaF	K02843
rfaG	K02844
rfaP	K02848
rimM	K02860
rplA	K02863
rplJ	K02864
rplK	K02867
rplM	K02871
rplN	K02874
rplO	K02876
rplP	K02878
rplQ	K02879
rplR	K02881
rplS	K02884
rplB	K02886
rplT	K02887
rplU	K02888
rplV	K02890
rplW	K02892
rplX	K02895
rplY	K02897
rpmA	K02899
rpmB	K02902
rpmC	K02904
rplC	K02906
rpmD	K02907
rpmE	K02909
rpmE2	K02909
rpmF	K02911
rpmG	K02913
rpmI	K02916
rplD	K02926
rplE	K02931
rplF	K02933
rplL	K02935
rplI	K02939
rpsA	K02945
rpsJ	K02946
rpsK	K02948
rpsL	K02950
rpsM	K02952
rpsN	K02954
rpsO	K02956
rpsP	K02959
rpsQ	K02961
rpsR	K02963
rpsS	K02965
rpsB	K02967
rpsT	K02968
rpsU	K02970
rpsC	K02982
rpsD	K02986
rpsE	K02988
rpsF	K02990
rpsG	K02992
rpsH	K02994
rpsI	K02996
rpoA	K03040
rpoB	K03043
rpoC	K03046
rpoZ	K03060
secA	K03070
secB	K03071
secD	K03072
secE	K03073
secF	K03074
secY	K03076
rpoD	K03086
rpoS	K03087
sigK_1	K03088
algU	K03088
group_494	K03088
sigK_2	K03088
rpoE_2	K03088
sigW_2	K03088
sigW_1	K03088
rpoH	K03089
rpoN	K03092
blc	K03098
lepB	K03100
group_3476	K03100
lspA_1	K03101
lspA_2	K03101
ffh	K03106
ftsY	K03110
ssb	K03111
ssb_2	K03111
ssb_1	K03111
ssb_3	K03111
damX	K03112
yciH	K03113
tatA	K03116
tatB	K03117
tatC	K03118
tauD_1	K03119
thiC	K03147
thiG	K03149
thiI	K03151
thiO	K03153
group_2701	K03154
topA	K03168
group_657	K03168
topB	K03169
topB_2	K03169
truB	K03177
ubiA	K03179
ubiC	K03181
ubiD	K03182
ubiE	K03183
ubiH	K03185
ubiX	K03186
ureE	K03187
ureF	K03188
ureG	K03189
ureD	K03190
group_3659	K03192
group_3926	K03194
group_4134	K03194
group_3909	K03195
group_4133	K03195
group_3931	K03196
group_4127	K03196
virB4	K03199
virB4_1	K03199
group_3910	K03200
group_4132	K03201
virB8	K03203
virB9	K03204
group_4097	K03204
virD4	K03205
yajC	K03210
rlmD	K03215
trmL	K03216
yidC	K03217
rlmB	K03218
sctC_5	K03219
sctC_2	K03219
group_879	K03220
group_2938	K03220
group_2670	K03221
group_1086	K03222
nolT	K03222
group_3365	K03222
yscN	K03224
hrcN	K03224
yscN_2~~~yscN_1	K03224
group_703	K03225
spaP	K03226
fliP_2	K03226
spaP_2~~~spaP_1	K03226
group_2442	K03227
group_2467	K03227
spaQ	K03227
spaR_1	K03228
spaR_2	K03228
group_3306	K03228
yscU_1	K03229
yscU_2	K03229
yscU_3~~~yscU_1	K03229
mxiA	K03230
ssaV	K03230
ssaV_1	K03230
lpxH_2	K03269
kdsC	K03270
